pseudocode,state,district,block,school loc,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
1653827,TAMIL NADU,KRISHNAGIRI,KELAMANGALAM,1,,,Nagamangalam,Nagamangalam,KELAMANGALAM,1,3,1,5,1,635113,2,2,3,0,2,19,0,0,0,2,2,1,2,2,204,1,0,0,0,0,4,3
6986279,TAMIL NADU,KRISHNAGIRI,BARGUR,1,,,Palepalle,Palepalli,BARGUR,1,3,1,5,1,635108,2,2,3,0,2,16,0,0,0,2,2,1,2,2,194,1,0,0,1,0,0,0
1110526,TAMIL NADU,KRISHNAGIRI,UTHANGARAI,1,,,Nadupatti,Kadavani,UTHANGARAI,1,3,1,5,1,635307,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,2,1,0,0
4483302,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Settipalli,Settipalli,THALLY,1,3,1,5,1,635118,2,2,3,0,2,19,0,0,0,2,2,1,2,2,206,1,0,0,0,0,2,1
3923978,TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,1,,,Boganapalli,Peththanapalli,KRISHNAGIRI,1,3,1,5,1,635002,2,2,3,0,2,19,0,0,0,2,2,1,2,2,210,1,0,0,1,1,0,0
6424703,TAMIL NADU,KRISHNAGIRI,MATHUR,1,,,Naralepalle,Naralapalli,MATHUR,1,3,1,5,1,635306,2,2,3,0,2,16,0,0,0,2,2,1,2,2,210,1,0,0,0,0,0,0
6196794,TAMIL NADU,KRISHNAGIRI,VEPPANAPALLI,1,,,Kundarapalli,Samanthamalai,VEPPANAPALLI,1,3,1,5,1,635121,2,2,3,0,2,16,0,0,0,2,2,1,2,2,204,1,0,0,0,0,0,0
7126546,TAMIL NADU,KRISHNAGIRI,VEPPANAPALLI,1,,,Beemandapalli,Beemandapalli,VEPPANAPALLI,1,3,1,5,1,635115,2,2,3,0,2,16,0,0,0,2,2,1,2,2,194,1,0,0,0,0,0,0
5446667,TAMIL NADU,KRISHNAGIRI,BARGUR,1,,,Palepalle,Palepalli,BARGUR,1,3,1,5,1,635108,2,2,3,0,2,16,0,0,0,2,2,1,2,2,194,1,0,0,0,0,3,0
6485376,TAMIL NADU,KRISHNAGIRI,THALLY,1,,,Ballapalli,Ballapalli,THALLY,1,3,1,5,1,635107,2,2,3,0,2,19,0,0,0,2,2,1,2,1,210,1,1,0,0,0,0,1
8887519,TAMIL NADU,KRISHNAGIRI,KAVERIPATINAM,2,Nagojanahalli,Nagojanahalli (TP) - Ward No.13,,,,1,3,1,5,1,635204,2,2,3,0,2,16,0,0,0,2,2,1,2,1,194,1,0,0,1,0,0,0
